station Name,Latitude,Longitude
Coming soon: S 4 St & Rodney St,40.70934,-73.95608
Coming soon: E 63 St & York Ave ,40.76120833,-73.95748565
Coming soon: 5 Ave & E 73 St ,40.77282817,-73.96685276
Coming soon: E 76 St & Park Ave ,40.77383304,-73.96238658
Coming soon: 5 Ave & E 79th St ,40.7768286344,-73.963887691498
Coming soon: E 81 St & York Ave ,40.7728384,-73.94989233
Coming soon: 3 Ave & E 71 St,40.76873687,-73.96119945
Coming soon: 2 Ave & E 71 St ,40.76783061,-73.95894421
Coming soon: E 77 St & 3 Ave,40.77314236,-73.95856158
Coming soon: Lexington Ave & E 63 St ,40.76440023,-73.96648977
Coming soon: East End Ave & E 86 St ,40.77518615,-73.94446054
Coming soon: W 76 St & Columbus Ave ,40.780183972424,-73.977285325527
Coming soon: W 78 St & Broadway ,40.78339981,-73.98093133
Coming soon: Riverside Dr & W 72 St ,40.780577990103,-73.985624313354
Coming soon: Amsterdam Ave & W 73rd Street,40.779668090073,-73.980930447578
Coming soon: Central Park West & W 85 St ,40.78472675,-73.96961715
Coming soon: Amsterdam Ave & W 82 St ,40.78524672,-73.97667321
Coming soon: Riverside Blvd & W 67 St,40.777507027548,-73.988885879517
Coming soon: W 82 St & Central Park West,40.78275,-73.97137
